disk_tb,hitrate_pct,p50_ms,p95_ms
664.0,82.1964,45.9500,174.3700
665.0,82.1970,45.9500,174.3600
666.0,82.1976,45.9500,174.3600
667.0,82.1981,45.9500,174.3600
668.0,82.1987,45.9500,174.3600
669.0,82.1992,45.9500,174.3600
670.0,82.1998,45.9500,174.3600
671.0,82.2047,45.9500,174.3500
672.0,82.2121,45.9400,174.3400
673.0,82.2196,45.9400,174.3300
674.0,82.2270,45.9300,174.3200
675.0,82.2344,45.9300,174.3100
676.0,82.2418,45.9200,174.2900
677.0,82.2492,45.9200,174.2800
678.0,82.2566,45.9100,174.2700
679.0,82.2641,45.9000,174.2600
680.0,82.2715,45.9000,174.2500
681.0,82.2789,45.8900,174.2300
682.0,82.2863,45.8900,174.2200
683.0,82.2937,45.8800,174.2100
684.0,82.3500,45.8400,174.1200
685.0,82.3967,45.8100,174.0500
686.0,82.3968,45.8100,174.0500
687.0,82.3969,45.8100,174.0500
688.0,82.3969,45.8100,174.0500
689.0,82.3970,45.8100,174.0500
690.0,82.3971,45.8100,174.0500
691.0,82.3971,45.8100,174.0500
692.0,82.3972,45.8100,174.0500
693.0,82.3973,45.8100,174.0500
694.0,82.3973,45.8100,174.0500
695.0,82.3974,45.8100,174.0500
696.0,82.3975,45.8100,174.0500
697.0,82.3975,45.8100,174.0500
698.0,82.3976,45.8100,174.0500
699.0,82.3977,45.8100,174.0500
700.0,82.3977,45.8100,174.0500
701.0,82.3978,45.8100,174.0500
702.0,82.3979,45.8100,174.0500
703.0,82.3979,45.8100,174.0500
704.0,82.3980,45.8100,174.0500
705.0,82.3981,45.8100,174.0500
706.0,82.3981,45.8100,174.0500
707.0,82.3982,45.8100,174.0500
708.0,82.3983,45.8100,174.0500
709.0,82.3983,45.8100,174.0500
710.0,82.3984,45.8100,174.0500
711.0,82.3985,45.8100,174.0500
712.0,82.3985,45.8100,174.0400
713.0,82.3986,45.8100,174.0400
714.0,82.3987,45.8100,174.0400
715.0,82.3987,45.8100,174.0400
716.0,82.3988,45.8100,174.0400
717.0,82.3989,45.8100,174.0400
718.0,82.3989,45.8100,174.0400
719.0,82.3990,45.8100,174.0400
720.0,82.3991,45.8100,174.0400
721.0,82.3991,45.8100,174.0400
722.0,82.3992,45.8100,174.0400
723.0,82.3993,45.8100,174.0400
724.0,82.3993,45.8100,174.0400
725.0,82.3994,45.8100,174.0400
726.0,82.3995,45.8100,174.0400
727.0,82.3995,45.8100,174.0400
