iteration=1
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=1366.14, p50=35.9990, p95=121.0590, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=2124.13, p50=33.6770, p95=113.9880, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=2147.08, p50=33.8450, p95=120.4090, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=6587.02, p50=42.5510, p95=136.9180, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=4499.67, p50=38.9410, p95=128.4520, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=4314.20, p50=32.2570, p95=122.2110, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=22008000.00, hitrate=57.36, cost=582.14, perf_penalty=2084.37, p50=36.3520, p95=117.6380, cost_gradient=16.9906, perf_gradient=-201.9590, overall_gradient=-184.9684

iteration=3
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=8562.17, p50=46.0540, p95=139.0070, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=114384640.00, hitrate=79.46, cost=5496.69, perf_penalty=4336.85, p50=28.3840, p95=116.0960, cost_gradient=-2.7200, perf_gradient=-323.2386, overall_gradient=-325.9585
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=3214.15, p50=34.2120, p95=115.5390, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=3185.24, p50=35.3830, p95=116.3080, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=52416320.00, hitrate=68.10, cost=1688.38, perf_penalty=2147.85, p50=28.5280, p95=114.4570, cost_gradient=36.7448, perf_gradient=-184.3552, overall_gradient=-147.6104
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=3322.33, p50=42.0510, p95=130.8240, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=13992.35, p50=35.4140, p95=118.9910, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=86825600.00, hitrate=78.04, cost=4709.27, perf_penalty=3535.93, p50=28.1390, p95=113.4970, cost_gradient=-12.0661, perf_gradient=-343.4929, overall_gradient=-355.5589
CVG, disk_mb=36923520.00, hitrate=65.30, cost=784.06, perf_penalty=5398.99, p50=36.9620, p95=118.0210, cost_gradient=22.4038, perf_gradient=-173.3376, overall_gradient=-150.9338
CLE, disk_mb=77478400.00, hitrate=79.73, cost=2560.96, perf_penalty=845.93, p50=29.5450, p95=103.6410, cost_gradient=8.9457, perf_gradient=-74.4673, overall_gradient=-65.5215
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=8944.54, p50=39.9610, p95=123.7130, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=66638720.00, hitrate=73.55, cost=4440.09, perf_penalty=1356.51, p50=24.1450, p95=114.6640, cost_gradient=36.2587, perf_gradient=-57.1623, overall_gradient=-20.9036
DEN, disk_mb=45207040.00, hitrate=67.70, cost=1340.61, perf_penalty=4081.37, p50=31.3950, p95=118.0540, cost_gradient=30.5893, perf_gradient=-222.5166, overall_gradient=-191.9273
DET, disk_mb=90478400.00, hitrate=81.83, cost=1841.05, perf_penalty=7731.84, p50=34.0690, p95=117.9620, cost_gradient=1.6387, perf_gradient=-205.7189, overall_gradient=-204.0802
HNL, disk_mb=137968320.00, hitrate=85.25, cost=1624.28, perf_penalty=1033.51, p50=30.7770, p95=164.7590, cost_gradient=45.1613, perf_gradient=-45.3081, overall_gradient=-0.1467
IAH, disk_mb=157668480.00, hitrate=87.30, cost=4423.75, perf_penalty=277.33, p50=25.6950, p95=106.3540, cost_gradient=44.0529, perf_gradient=-15.3108, overall_gradient=28.7421
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=4567.49, p50=34.9970, p95=117.6770, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=53422400.00, hitrate=71.04, cost=1001.02, perf_penalty=15828.45, p50=41.8380, p95=133.9590, cost_gradient=9.6689, perf_gradient=-321.9898, overall_gradient=-312.3210
LAS, disk_mb=53689920.00, hitrate=68.44, cost=1363.63, perf_penalty=3441.25, p50=32.5320, p95=132.0730, cost_gradient=9.4876, perf_gradient=-199.4677, overall_gradient=-189.9801
LAX, disk_mb=87516160.00, hitrate=75.78, cost=4004.14, perf_penalty=4083.38, p50=27.6860, p95=116.9990, cost_gradient=19.6553, perf_gradient=-488.7880, overall_gradient=-469.1327
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=6923.89, p50=43.0990, p95=128.5670, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=14063.16, p50=43.9180, p95=132.7830, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MIA, disk_mb=47758080.00, hitrate=56.34, cost=3569.16, perf_penalty=2488.28, p50=28.2250, p95=120.6350, cost_gradient=54.3638, perf_gradient=-142.4949, overall_gradient=-88.1311
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=4947.95, p50=35.3730, p95=117.9600, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
